ind,A632_usa,B73_inra,CO255_inra,FV252_inra,OH43_inra,A654_inra,FV2_inra,C103_inra,EP1_inra,D105_inra,W117_inra,B96,DK63,F492,ND245,VA85
EB.09S.H.00519,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00520,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00522,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00523,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00524,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00525,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.09S.H.00530,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00005,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00006,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00007,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00018,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00020,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00021,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00023,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00024,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00025,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00028,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00029,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00030,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00031,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00032,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
EB.10H.H.00033,9,1,5,2,11,12,14,6,10,7,15,13,16,3,4,8
